RTCData,RTCHora,GPSData,GPSHora,Lat,Long,Altgps,Vel,GPSUpdate,Ax,Ay,Az,Gx,Gy,Gz,indiceAmostra,LatLogger,LongLogger,ElevationLogger,DataLogger,HoraLogger,SpeedLogger,SatellitesLogger,Seconds,LatInter,LongInter,Ax_SMA,Ay_SMA,Az_SMA,Gx_SMA,Gy_SMA,Gz_SMA,Ax_Butter,Ay_Butter,Az_Butter,Gx_Butter,Gy_Butter,Gz_Butter,Ax_Comp,Ay_Comp,Az_Comp,Gx_Comp,Gy_Comp,Gz_Comp
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.03,-0.31,-0.55,0.12,2,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.744695986,-38.577414723,-0.08,0.038,-1.036,-0.442,-0.8320000000000001,0.072,-0.07997649308965259,0.04141587623258764,-1.034349746353966,-0.3703128843264193,-0.6966211012428593,0.04312799902901149,-0.0016000000000000014,0.0008000000000000007,-0.020600000000000018,-0.3038,-0.539,0.1176
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.04,-0.37,-0.79,-0.06,3,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.744695842,-38.577414486,-0.08,0.04,-1.036,-0.43,-0.782,0.06,-0.07997527018414667,0.0382735373784275,-1.0377441870792297,-0.44665622818486195,-0.7307546027275262,0.02593669560180014,-0.0016000000000000014,0.0008000000000000007,-0.02080000000000002,-0.3626,-0.7742,-0.0588
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,-0.67,-0.98,0.0,4,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.744695698,-38.577414249,-0.08,0.038,-1.036,-0.466,-0.8440000000000001,0.012,-0.08003239293888605,0.030380575054206854,-1.0418375409846097,-0.4839380666643007,-0.9648468932274352,-0.05023693078374383,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,-0.6566000000000001,-0.9603999999999999,0.0
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,-0.18,-0.98,-0.06,5,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.744695554,-38.577414012,-0.08,0.036,-1.038,-0.41600000000000004,-0.8560000000000001,0.0,-0.08002633280492098,0.03107088805045079,-1.0379242011022485,-0.34405924394717396,-0.9979446279812544,-0.04641367510332877,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,-0.1764,-0.9603999999999999,-0.0588
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.03,-0.37,-0.85,0.06,6,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.74469541,-38.577413775,-0.08,0.036,-1.036,-0.38,-0.8299999999999998,0.012,-0.07993077629720079,0.03936589841327509,-1.0306735180415691,-0.33026901311133805,-0.8570210134087801,0.05085596517860243,-0.0016000000000000014,0.0008000000000000007,-0.020600000000000018,-0.3626,-0.833,0.0588
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.03,-0.55,-0.85,0.06,7,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.744695266,-38.577413538,-0.08,0.036,-1.036,-0.42800000000000005,-0.89,0.0,-0.08000085581840549,0.03895041056356323,-1.0322255796340474,-0.4819269931623396,-0.8421128341399067,0.09281967872335448,-0.0016000000000000014,0.0008000000000000007,-0.020600000000000018,-0.539,-0.833,0.0588
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,-0.37,-0.85,0.06,8,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.744695122,-38.577413301,-0.08,0.034,-1.036,-0.42800000000000005,-0.9019999999999999,0.024,-0.08012445860200193,0.03123918238827316,-1.0362004613850768,-0.46034063073113085,-0.8502996995288445,0.013401966860751954,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,-0.3626,-0.833,0.0588
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.03,-0.37,-0.79,-0.06,9,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.744694978,-38.577413064,-0.08,0.034,-1.034,-0.368,-0.8640000000000001,0.012,-0.07989690113910021,0.03116292272223174,-1.0325171888843623,-0.3046474089523866,-0.7661796003883754,-0.04745043559225124,-0.0016000000000000014,0.0006000000000000005,-0.020600000000000018,-0.3626,-0.7742,-0.0588
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.03,-0.24,-0.73,-0.06,10,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.744694834,-38.577412827,-0.08,0.036000000000000004,-1.032,-0.38,-0.8140000000000001,0.012,-0.0798580372566416,0.03606456172407531,-1.029256614813646,-0.30264331869800454,-0.7954308732220524,0.002384536005778846,-0.0016000000000000014,0.0008000000000000007,-0.020600000000000018,-0.2352,-0.7153999999999999,-0.0588
2024-04-09,10:14:35,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.03,-0.49,-0.98,0.18,1,-3.74469469,-38.57741259,17.8,2024-04-09,10:14:35,0.0,32,36875.0,-3.74469469,-38.57741259,-0.08,0.034,-1.032,-0.404,-0.8400000000000001,0.036,-0.08031243388516254,0.03417691722174002,-1.0319030615521163,-0.3975730333124963,-0.9053543115751476,0.06024825632414624,-0.0016000000000000014,0.0006000000000000005,-0.020600000000000018,-0.48019999999999996,-0.9603999999999999,0.1764
