latitude;longitude;elevation;time
-3.74610186;-38.57267734;11.346;2024-04-09 13:18:40
-3.74604736;-38.57270114;11.384;2024-04-09 13:18:41
-3.74599232;-38.57272440;11.449;2024-04-09 13:18:42
-3.74593853;-38.57274555;11.334;2024-04-09 13:18:43
-3.74588473;-38.57276583;11.412;2024-04-09 13:18:44
-3.74583283;-38.57278477;11.566;2024-04-09 13:18:45
-3.74578310;-38.57280253;11.573;2024-04-09 13:18:46
-3.74573498;-38.57282019;11.440;2024-04-09 13:18:47
-3.74568414;-38.57283174;11.556;2024-04-09 13:18:48
-3.74563475;-38.57284469;11.301;2024-04-09 13:18:49
-3.74558710;-38.57285894;11.308;2024-04-09 13:18:50
-3.74554286;-38.57287255;11.238;2024-04-09 13:18:51
-3.74550003;-38.57288649;11.048;2024-04-09 13:18:52
-3.74545865;-38.57290164;10.821;2024-04-09 13:18:53
-3.74541873;-38.57291876;10.801;2024-04-09 13:18:54
-3.74539996;-38.57292682;10.925;2024-04-09 13:18:55
-3.74539232;-38.57292765;11.310;2024-04-09 13:18:56
-3.74538546;-38.57293055;11.598;2024-04-09 13:18:57
-3.74537548;-38.57293560;11.696;2024-04-09 13:18:58
-3.74536177;-38.57294142;11.778;2024-04-09 13:18:59
-3.74534384;-38.57294860;11.816;2024-04-09 13:19:00
-3.74531984;-38.57295742;12.012;2024-04-09 13:19:01
-3.74529602;-38.57296817;12.276;2024-04-09 13:19:02
-3.74527159;-38.57298316;12.186;2024-04-09 13:19:03
-3.74524503;-38.57300202;12.012;2024-04-09 13:19:04
-3.74521532;-38.57302476;12.191;2024-04-09 13:19:05
-3.74518439;-38.57305126;11.921;2024-04-09 13:19:06
-3.74515514;-38.57308350;11.838;2024-04-09 13:19:07
-3.74512159;-38.57312379;11.730;2024-04-09 13:19:08
-3.74508523;-38.57316474;11.808;2024-04-09 13:19:09
-3.74504698;-38.57320705;11.817;2024-04-09 13:19:10
-3.74500828;-38.57325226;11.863;2024-04-09 13:19:11
-3.74496782;-38.57329755;11.941;2024-04-09 13:19:12
-3.74492743;-38.57334319;11.604;2024-04-09 13:19:13
-3.74488815;-38.57338632;11.731;2024-04-09 13:19:14
-3.74485210;-38.57342917;11.778;2024-04-09 13:19:15
-3.74481788;-38.57347179;12.034;2024-04-09 13:19:16
-3.74478254;-38.57351311;11.898;2024-04-09 13:19:17
-3.74474717;-38.57356356;11.641;2024-04-09 13:19:18
-3.74470931;-38.57361662;11.667;2024-04-09 13:19:19
-3.74467197;-38.57367346;11.513;2024-04-09 13:19:20
-3.74463145;-38.57373081;11.507;2024-04-09 13:19:21
-3.74459171;-38.57379239;11.478;2024-04-09 13:19:22
-3.74455089;-38.57385696;11.314;2024-04-09 13:19:23
-3.74451025;-38.57392351;11.415;2024-04-09 13:19:24
-3.74447112;-38.57399086;11.220;2024-04-09 13:19:25
-3.74443086;-38.57405724;11.173;2024-04-09 13:19:26
-3.74439320;-38.57412738;11.026;2024-04-09 13:19:27
-3.74434965;-38.57419229;11.023;2024-04-09 13:19:28
-3.74430334;-38.57425456;11.324;2024-04-09 13:19:29
-3.74425376;-38.57431497;11.230;2024-04-09 13:19:30
-3.74419913;-38.57437431;11.524;2024-04-09 13:19:31
-3.74413913;-38.57443220;11.581;2024-04-09 13:19:32
-3.74406762;-38.57449150;11.849;2024-04-09 13:19:33
-3.74399101;-38.57455138;12.225;2024-04-09 13:19:34
-3.74391098;-38.57460742;12.285;2024-04-09 13:19:35
-3.74383305;-38.57465821;12.532;2024-04-09 13:19:36
-3.74375437;-38.57470303;12.814;2024-04-09 13:19:37
-3.74367736;-38.57474378;12.908;2024-04-09 13:19:38
-3.74359984;-38.57477769;12.942;2024-04-09 13:19:39
-3.74352232;-38.57480275;13.126;2024-04-09 13:19:40
-3.74344353;-38.57482006;13.225;2024-04-09 13:19:41
-3.74336277;-38.57482897;13.035;2024-04-09 13:19:42
-3.74328051;-38.57482782;12.887;2024-04-09 13:19:43
-3.74319698;-38.57482572;13.013;2024-04-09 13:19:44
-3.74311114;-38.57482116;12.764;2024-04-09 13:19:45
-3.74302728;-38.57481666;12.629;2024-04-09 13:19:46
-3.74294641;-38.57481357;12.615;2024-04-09 13:19:47
-3.74287188;-38.57481141;12.716;2024-04-09 13:19:48
-3.74280170;-38.57481006;12.528;2024-04-09 13:19:49
-3.74274131;-38.57480889;12.296;2024-04-09 13:19:50
-3.74269999;-38.57480682;12.394;2024-04-09 13:19:51
-3.74266948;-38.57480749;12.412;2024-04-09 13:19:52
-3.74263408;-38.57480730;12.453;2024-04-09 13:19:53
-3.74259551;-38.57480532;12.377;2024-04-09 13:19:54
-3.74255994;-38.57480531;12.426;2024-04-09 13:19:55
-3.74252121;-38.57480423;12.354;2024-04-09 13:19:56
-3.74247770;-38.57480150;12.160;2024-04-09 13:19:57
-3.74242917;-38.57479972;12.343;2024-04-09 13:19:58
-3.74237208;-38.57479846;12.284;2024-04-09 13:19:59
-3.74230859;-38.57479653;12.014;2024-04-09 13:20:00
-3.74224006;-38.57479265;12.037;2024-04-09 13:20:01
-3.74216736;-38.57478666;11.867;2024-04-09 13:20:02
-3.74209057;-38.57478376;11.787;2024-04-09 13:20:03
-3.74201314;-38.57477914;11.665;2024-04-09 13:20:04
-3.74193467;-38.57477510;11.629;2024-04-09 13:20:05
-3.74185785;-38.57477090;11.300;2024-04-09 13:20:06
-3.74178114;-38.57476939;11.272;2024-04-09 13:20:07
-3.74170692;-38.57476730;11.295;2024-04-09 13:20:08
-3.74163490;-38.57476406;11.283;2024-04-09 13:20:09
-3.74156915;-38.57476154;11.071;2024-04-09 13:20:10
-3.74150882;-38.57475742;11.153;2024-04-09 13:20:11
-3.74145482;-38.57474746;11.181;2024-04-09 13:20:12
-3.74140393;-38.57473167;11.050;2024-04-09 13:20:13
-3.74135952;-38.57471036;10.720;2024-04-09 13:20:14
-3.74132205;-38.57468569;10.706;2024-04-09 13:20:15
-3.74128377;-38.57465590;10.254;2024-04-09 13:20:16
-3.74124463;-38.57462839;9.948;2024-04-09 13:20:17
-3.74120146;-38.57460822;9.825;2024-04-09 13:20:18
-3.74115589;-38.57459890;9.599;2024-04-09 13:20:19
-3.74111016;-38.57460163;9.599;2024-04-09 13:20:20
-3.74107078;-38.57461643;9.573;2024-04-09 13:20:21
-3.74103990;-38.57463978;9.487;2024-04-09 13:20:22
-3.74101286;-38.57466936;9.499;2024-04-09 13:20:23
-3.74099115;-38.57470550;9.452;2024-04-09 13:20:24
-3.74097829;-38.57474407;9.479;2024-04-09 13:20:25
-3.74097286;-38.57478658;9.621;2024-04-09 13:20:26
-3.74097244;-38.57483093;10.276;2024-04-09 13:20:27
-3.74097131;-38.57487681;10.333;2024-04-09 13:20:28
-3.74100874;-38.57491205;10.832;2024-04-09 13:20:29
